Index,Word,Part of Speech,Definition,Sentence
0,"Sagacious","adjective","having or showing keen mental discernment and good judgment","Her sagacious input solved the complex problem in minutes."
1,"Tangible","adjective","perceptible by touch","The tension in the room was almost tangible."
2,"Ubiquitous","adjective","present, appearing, or found everywhere","Blue jeans are ubiquitous in modern society."
3,"Voracious","adjective","wanting or devouring great quantities of food","He was a voracious reader, devouring books quickly."
4,"Wistful","adjective","having or showing a feeling of vague or regretful longing","She was wistful for a moment, then asked about dessert."
5,"Xenophobic","adjective","having or showing a dislike of or prejudice against people from other countries","Unfortunately, his xenophobic tendencies isolated him from his international colleagues."
6,"Yearn","verb","have an intense feeling of longing for something, typically something that one has lost or been separated from","She yearned for a cup of coffee."
7,"Zephyr","noun","a soft gentle breeze","The zephyr rustled the leaves as it blew gently through the trees."
8,"Amicable","adjective","having a disposition characterized by warmth and friendliness","Despite their disagreements, their breakup was amicable."
9,"Boisterous","adjective","noisy, energetic, and cheerful","The children were boisterous and unruly."
10,"Cacophony","noun","a harsh, discordant mixture of sounds","The city traffic created a cacophony that kept her awake."
11,"Dichotomy","noun","a division or contrast between two things that are represented as being opposed or entirely different","There is a dichotomy between her personal and public life."
12,"Ebullient","adjective","cheerful and full of energy","He was ebullient after hearing the good news."
13,"Flippant","adjective","not showing a serious or respectful attitude","She gave a flippant response to a serious question."
14,"Garrulous","adjective","excessively talkative, especially on trivial matters","He was so garrulous that she could hardly get a word in edgeways."
15,"Harbinger","noun","a person or thing that announces or signals the approach of another","Witch hazels are the harbingers of spring."
16,"Ignominious","adjective","deserving or causing public disgrace or shame","No other party risked ignominious defeat."
17,"Jocular","adjective","fond of or characterized by joking; humorous or playful","She was in a jocular mood."
18,"Knack","noun","an acquired or natural skill at performing a task","He had a knack for making friends."
19,"Loquacious","adjective","tending to talk a great deal; talkative","She was a loquacious and lively conversationalist."
20,"Maudlin","adjective","self-pityingly or tearfully sentimental, often through drunkenness","The drink made her maudlin."
21,"Nuance","noun","a subtle difference in or shade of meaning, expression, or sound","He was familiar with the nuances of the local dialect."
22,"Opulent","adjective","ostentatiously rich and luxurious or lavish","The opulent comfort of a limousine."
23,"Pithy","adjective","(of language or style) concise and forcefully expressive","His character was summed up in one pithy sentence."
24,"Quixotic","adjective","exceedingly idealistic, unrealistic and impractical","A vast and perhaps quixotic project."
25,"Recalcitrant","adjective","having an obstinately uncooperative attitude toward authority or discipline","The recalcitrant youth was causing trouble again."
26,"Salubrious","adjective","health-giving; healthy","A region with a salubrious climate."
27,"Tumultuous","adjective","making a loud, confused noise; uproarious","Tumultuous applause followed the announcement."
28,"Unprecedented","adjective","never done or known before","The government took the unprecedented step of releasing confidential correspondence."
29,"Verbose","adjective","using or expressed in more words than are needed","Much academic language is obscure and verbose."
30,"Whimsical","adjective","playfully quaint or fanciful, especially in an appealing and amusing way","A whimsical sense of humor."
31,"Xenodochial","adjective","friendly to strangers","The xenodochial shopkeeper welcomed all customers with a warm greeting."
32,"Yesteryear","noun","last year or the recent past, especially as nostalgically recalled","The tunes of yesteryear continue to charm us."
33,"Zenith","noun","the highest point reached by a celestial or other object","The sun was at its zenith."
34,"Abrogate","verb","repeal or do away with (a law, right, or formal agreement)","A proposal to abrogate temporarily the right to strike."
35,"Blithe","adjective","showing a casual and cheerful indifference considered to be callous or improper","A blithe disregard for the rules of the road."
36,"Capricious","adjective","given to sudden and unaccountable changes of mood or behavior","A capricious and often brutal administration."
37,"Disingenuous","adjective","not candid or sincere, typically by pretending that one knows less about something than one really does","This journalist was being somewhat disingenuous."
38,"Effervescent","adjective","(of a liquid) giving off bubbles; fizzy","An effervescent drink."
39,"Fortuitous","adjective","happening by accident or chance rather than design","The similarity between the paintings may not be simply fortuitous."
40,"Glib","adjective","(of words or the person speaking them) fluent and voluble but insincere and shallow","She was careful not to let the answer sound too glib."
41,"Heinous","adjective","(of a person or wrongful act, especially a crime) utterly odious or wicked","A battery of heinous crimes."
42,"Innate","adjective","inborn; natural","Her innate capacity for organization."
43,"Jeopardize","verb","put (someone or something) into a situation in which there is a risk of loss, harm, or failure","A devaluation of the dollar would jeopardize New York's position as a financial center."
44,"Kinetic","adjective","of, relating to, or resulting from motion","The kinetic energy of the falling pieces of the building."
45,"Loquacious","adjective","tending to talk a great deal; talkative","Never one to be loquacious, Sarah kept her thoughts to herself."
46,"Mendacious","adjective","not telling the truth; lying","Mendacious propaganda."
47,"Nefarious","adjective","(typically of an action or activity) wicked or criminal","The nefarious activities of the organized-crime syndicates."
48,"Obdurate","adjective","stubbornly refusing to change one's opinion or course of action","I argued this point with him, but he was obdurate."
49,"Pugnacious","adjective","eager or quick to argue, quarrel, or fight","The increasingly pugnacious demeanor of politicians."
50,"Querulous","adjective","complaining in a petulant or whining manner","His querulous tone was quite annoying."
51,"Reverberate","verb","(of a loud noise) be repeated several times as an echo","Her laughter reverberated through the house."
52,"Spontaneous","adjective","performed or occurring as a result of a sudden inner impulse or inclination and without premeditation or external stimulus","The audience broke into spontaneous applause."
53,"Tenacious","adjective","tending to keep a firm hold of something; clinging or adhering closely","A tenacious grip."
54,"Undermine","verb","erode the base or foundation of (a rock formation)","The flow of water had undermined pillars supporting the roof."
55,"Vilify","verb","speak or write about in an abusively disparaging manner","He has been vilified in the press."
56,"Whimsical","adjective","playfully quaint or fanciful, especially in an appealing and amusing way","The whimsical characters have appealed to generations of children."
57,"Xenophile","noun","an individual who is attracted to foreign peoples, manners, or cultures","As a xenophile, traveling the world was his life's ambition."
58,"Yonder","adverb","at some distance in the direction indicated; over there","The shop yonder sells excellent pies."
59,"Zestful","adjective","characterized by great energy and enthusiasm","With a zestful yell, he ran into the icy water."
60,"Apathetic","adjective","showing or feeling no interest, enthusiasm, or concern","It is hard to remain apathetic to the suffering of others."
61,"Belligerent","adjective","hostile and aggressive","He was drunk and belligerent."
62,"Capacious","adjective","having a lot of space inside; roomy","A capacious handbag."
63,"Deferential","adjective","showing deference; respectful","People were always deferential to him."
64,"Effusive","adjective","expressing feelings of gratitude, pleasure, or approval in an unrestrained or heartfelt manner","An effusive thank-you note."
65,"Fallible","adjective","capable of making mistakes or being erroneous","Experts can be fallible."
66,"Gravitate","verb","move toward or be attracted to a place, person, or thing","People gravitate towards things they know."
67,"Humdrum","adjective","lacking excitement or variety; boringly monotonous","Humdrum tasks."
68,"Inadvertent","adjective","not resulting from or achieved through deliberate planning","An inadvertent administrative error occurred that caused the delay."
69,"Jubilant","adjective","feeling or expressing great happiness and triumph","A large jubilant crowd greeted the winner."
70,"Kinesthetic","adjective","relating to a person's awareness of the position and movement of the parts of the body by means of sensory organs","Dancers have strong kinesthetic awareness."
71,"Languid","adjective","(of a person, manner, or gesture) displaying or having a disinclination for physical exertion or effort; slow and relaxed","They turned with languid movements from back to front so as to tan evenly."
72,"Malleable","adjective","able to be hammered or pressed permanently out of shape without breaking or cracking","Malleable metals can be hammered into thin sheets."
73,"Nostalgic","adjective","characterized by or exhibiting feelings of nostalgia","A wave of nostalgic sadness swept over him."
74,"Ostentatious","adjective","characterized by vulgar or pretentious display; designed to impress or attract notice","Books that people buy and display ostentatiously but never actually finish."
75,"Philanthropic","adjective","seeking to promote the welfare of others, especially by donating money to good causes","She made a philanthropic donation to her old school."
76,"Quintessential","adjective","representing the most perfect or typical example of a quality or class","He was the quintessential tough guy—strong, silent, and self-contained."
77,"Reciprocal","adjective","given, felt, or done in return","She was hoping for some reciprocal comment or gesture."
78,"Serendipity","noun","the occurrence and development of events by chance in a happy or beneficial way","A fortunate stroke of serendipity."
79,"Taciturn","adjective","(of a person) reserved or uncommunicative in speech; saying little","After such gatherings, she would be taciturn and morose."
80,"Unctuous","adjective","excessively or ingratiatingly flattering; oily","He seemed anxious to please but not in an unctuous way."
81,"Vex","verb","make (someone) feel annoyed, frustrated, or worried, especially with trivial matters","The memory of the conversation still vexed him."
82,"Winsome","adjective","attractive or appealing in appearance or character","A winsome smile."
83,"Xeric","adjective","very dry","The desert is a xeric ecosystem."
84,"Yield","verb","produce or provide (a natural, agricultural, or industrial product)","The land yields grapes and tobacco."
85,"Zealous","adjective","having or showing zeal","The council was extremely zealous in the application of the regulations."
86,"Aberration","noun","a departure from what is normal, usual, or expected, typically one that is unwelcome","They described the outbreak of violence in the area as an aberration."
87,"Banal","adjective","so lacking in originality as to be obvious and boring","Songs with banal, repeated words."
88,"Cajole","verb","persuade someone to do something by sustained coaxing or flattery","He cajoled her into selling the house."
89,"Deride","verb","express contempt for; ridicule","Critics derided the proposals as clumsy attempts to find a solution."
90,"Exorbitant","adjective","(of a price or amount charged) unreasonably high","The exorbitant price of tickets."
91,"Feckless","adjective","lacking initiative or strength of character; irresponsible","A feckless mama's boy."
92,"Guile","noun","sly or cunning intelligence","He used all his guile and guts to free himself from the muddle he was in."
93,"Hackneyed","adjective","lacking significance through having been overused; unoriginal and trite","Hackneyed old sayings."
94,"Inept","adjective","having or showing no skill; clumsy","The inept handling of the situation was disastrous."
95,"Juxtapose","verb","place or deal with close together for contrasting effect","Black-and-white photos of slums were starkly juxtaposed with color images."
96,"Kowtow","verb","act in an excessively subservient manner","She didn't have to kowtow to a boss."
