index,word,definition,sentence,part_of_speech,language_of_origin
0,"Aberration","A departure from what is normal, usual, or expected, typically an unwelcome one","His behavior was seen as an aberration from the norm.","Noun","Latin"
1,"Belligerence","Aggressive or warlike behavior","His belligerence was evident in his confrontational attitude.","Noun","Latin"
2,"Cacophonous","Having a harsh, discordant sound","The music was loud and cacophonous.","Adjective","Greek"
3,"Disparate","Essentially different in kind; not allowing comparison","The group had disparate interests and tastes.","Adjective","Latin"
4,"Ebullient","Cheerful and full of energy","Her ebullient nature was infectious.","Adjective","Latin"
5,"Floccinaucinihilipilification","The action or habit of estimating something as worthless","It's rare to hear someone use the word floccinaucinihilipilification in a sentence.","Noun","Latin"
6,"Garrulous","Excessively talkative, especially on trivial matters","The garrulous man told stories for hours.","Adjective","Latin"
7,"Haplography","The accidental omission of a letter or letter group that should be repeated in writing","Haplography can lead to misspelled words in manuscripts.","Noun","Greek"
8,"Iconoclastic","Characterized by attack on cherished beliefs or institutions","His ideas were iconoclastic and challenged the status quo.","Adjective","Greek"
9,"Jurisprudence","The theory or philosophy of law","He studied jurisprudence at the university.","Noun","Latin"
10,"Kaleidoscopic","Having a constantly changing pattern or scene","Her kaleidoscopic dress had many colors.","Adjective","Greek"
11,"Lugubrious","Looking or sounding sad and dismal","His face had a lugubrious expression.","Adjective","Latin"
12,"Machiavellian","Cunning, scheming, and unscrupulous, especially in politics","His Machiavellian tactics were infamous.","Adjective","Italian"
13,"Nefarious","Wicked, villainous, or criminal","The villain hatched a nefarious plan.","Adjective","Latin"
14,"Obfuscate","Render obscure, unclear, or unintelligible","The contract was written to obfuscate its true meaning.","Verb","Latin"
15,"Pernicious","Having a harmful effect, especially in a gradual or subtle way","The pernicious weed choked out other plants.","Adjective","Latin"
16,"Quintessence","The most perfect or typical example of a quality or class","He was the quintessence of elegance.","Noun","Latin"
17,"Reciprocity","The practice of exchanging things with others for mutual benefit","International relations are often based on reciprocity.","Noun","Latin"
