"index","word","definition","sentence","part_of_speech","language_of_origin"
"0","Book","A set of written sheets of skin or paper or tablets of wood or ivory","I'm reading a new book on history.","Noun","Old English"
"1","Door","A hinged, sliding, or revolving barrier at the entrance to a building, room, or vehicle, or in the framework of a cupboard","She walked through the door.","Noun","Old English"
"2","Rain","Moisture condensed from the atmosphere that falls visibly in separate drops","We need an umbrella for the rain.","Noun","Old English"
"3","Tree","A woody perennial plant, typically having a single stem or trunk growing to a considerable height and bearing lateral branches at some distance from the ground","The tree has beautiful flowers.","Noun","Old English"
"4","Bird","A warm-blooded egg-laying vertebrate distinguished by the possession of feathers, wings, and a beak and (typically) by being able to fly","The bird sang a lovely tune.","Noun","Old English"
"5","Dog","A domesticated carnivorous mammal that typically has a long snout, an acute sense of smell, and a barking, howling, or whining voice","The dog barked at the stranger.","Noun","Old English"
"6","Cat","A small domesticated carnivorous mammal with soft fur, a short snout, and retractable claws", The cat sat on the mat.","Noun","Old English"
"7","Fish","A limbless cold-blooded vertebrate animal with gills and fins living wholly in water","I have a gold fish in my aquarium.","Noun","Old English"
"8","Hill","A naturally raised area of land, not as high or craggy as a mountain","The house is on top of the hill.","Noun","Old English"
"9","Moon","The natural satellite of the earth, visible (chiefly at night) by reflected light from the sun","The moon shines brightly at night.","Noun","Old English"
"10","Star","A fixed luminous point in the night sky which is a large, remote incandescent body like the sun","I saw a shooting star last night.","Noun","Old English"
"11","Sun","The star around which the earth orbits and provides light and warmth","The sun rises in the east.","Noun","Old English"
"12","Jump","Push oneself off a surface and into the air by using the muscles in one's legs and feet","The kids like to jump on the trampoline.","Verb","Middle English"
"13","Run","Move at a speed faster than a walk","I run every morning for exercise.","Verb","Old Norse"
"14","Sing","Make musical sounds with the voice, especially words with a set tune","She loves to sing in the shower.","Verb","Old English"
"15","Blue","A color between green and violet, seen in the clear sky at midday","The sky is blue today.","Adjective","Old French"
"16","Red","A color at the end opposite that of violet, as of blood, fire, or rubies","I love red roses.","Adjective","Old English"
"17","Tall","Of great or more than average height, especially (with reference to an object) relative to width","He is the tallest person in the room.","Adjective","Old English"
"18","Short","Measuring a small distance from end to end","I took a short nap in the afternoon.","Adjective","Old English"
"19","Milk","A white liquid produced by the mammary glands of mammals","I drink milk every morning.","Noun","Old English"
"20","Play","Engage in activity for enjoyment and recreation rather than a serious or practical purpose","The children play in the park.","Verb","Old English"
"21","Fast","Moving or capable of moving at high speed","He runs very fast.","Adverb","Old English"
"22","Slow","Moving or operating, or designed to do so, only at a low speed; not quick or fast","The tortoise is slow but steady.","Adjective","Old English"
"23","Hot","Having a high degree of heat or a high temperature","The tea is too hot to drink.","Adjective","Old English"
"24","Cold","Of or at a low or relatively low temperature, especially when compared with the human body","I caught a cold last week.","Adjective","Old English"
"25","Joy","A feeling of great pleasure and happiness","The news brought her great joy.","Noun","Old French"
"26","Sad","Feeling or showing sorrow; unhappy","The movie made me feel sad.","Adjective","Old English"
"27","Happy","Feeling or showing pleasure or contentment","Today is a happy day.","Adjective","Old Norse"
"28","Hard","Solid, firm, and rigid; not easily broken, bent, or pierced","The math problem was too hard.","Adjective","Old English"
"29","Soft","Easy to mold, cut, compress, or fold; not hard or firm to the touch","The pillow is very soft.","Adjective","Old English"
"30","Pen","An instrument for writing or drawing with ink, typically consisting of a metal nib or ball, or a nylon tip, fitted into a metal or plastic holder","I need a pen to write a letter.","Noun","Latin"
"31","Desk","A piece of furniture with a flat or sloped surface and typically with drawers, at which one can read, write, or do other work","My computer is on the desk.","Noun","Medieval Latin"
"32","Shoe","A covering for the foot, typically made of leather, having a sturdy sole and not reaching above the ankle","I bought a new pair of shoes.","Noun","Old English"
"33","Water","A colorless, transparent, odorless liquid that forms the seas, lakes, rivers, and rain and is the basis of the fluids of living organisms","I drink eight glasses of water a day.","Noun","Old English"
"34","Sky","The expanse of air over the earth's surface","The sky is clear tonight.","Noun","Old Norse"
"35","River","A large natural stream of water flowing in a channel to the sea, a lake, or another river","The river flows through the city.","Noun","Old French"
